latitude,longitude,initiatives,type,structure,date,inscriptions
-12.899767,45.096521,Nettoyage de la rivière Mro Mbole,Rivière,APENB,18/01/25,
-12.892849298640375,45.203222177639915,Atelier : découverte des tortues marines,Sensibilisation,Ecole de la joie et de la Liberté x  Oulanga na nyamba,23/01/25,
-12.893504,45.204286,Sortie terrain plage ,Sensibilisation,Ecole de la joie et de la Liberté x  Oulanga na nyamba,24/01/25,
-12.775174,45.105156,Nettoyage du sentier cascade ,Déblaiement de sentier,office de tourisme de la 3CO,29/01/25,
-12.922268,45.155158,Arrachage plantes exotiques envahissantes sur la prairie de Malamani,Lutte Espèces Exotiques Envahissantes,GEPOMAY,31/01/25,https://www.jeveuxaider.gouv.fr/missions-benevolat/66226/benevolat-gepomay
-12.911417,45.193658,Sensibilisation mangrove,Sensibilisation,976 Sud Prévention,01/02/25,
-12.844942,45.115330,Grand nettoyage de la commune du carrefour de Coconi à Mtsagachéni,Ramassage de déchets,Mairie de Sada,02/02/25,
-12.958354,45.131359,Déblayement des sentiers menant à la RNN FM,Déblaiement de sentier,Réserve Naturelle Nationale des Forêts de Mayotte,04/02/25,
-12.774736,45.104874,nettoyage du sentier de Mtsangamouji,Déblaiement de sentier,office de tourisme de la 3CO,05/02/25,
-12.910870,45.192793,Nettoyage des villages de la commune de Bandrélé,Ramassage de déchets,DRAJES Mayotte,31/01/25,https://www.jeveuxaider.gouv.fr/missions-benevolat/65125/benevolat-drajes-mayotte-1
-12.849035,45.105779,Nettoyage des écoles de la commune de Sada,Ramassage de déchets,DRAJES Mayotte,31/01/25,
-12.907263,45.189255,Nettoyage des chemins pédestres de Bandrélé,Ramassage de déchets,OFFICE MUNICIPAL DE LA JEUNESSE ET SPORT DE BANDRELE,,https://www.jeveuxaider.gouv.fr/missions-benevolat/65554/benevolat-office-municipal-de-la-jeunesse-et-sport-de-bandrele
